UniProt	adj.p	disease	sources	SYMBOL	ENTREZID	DGN_hits	DMaps_hits	KEGG_hits	KEGG_pathways	Reactome_hits	Reactome_pathways
Q8NBP7	0.000896997516286864	FTD	VUMC Olink	PCSK9	255738	0	0	0		2	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
Q9HCK4	0.00123471823770091	FTD	VUMC Olink	ROBO2	6092	0	0	1	Axon guidance	0	
P48307	0.0018334100264297	FTD	VUMC Olink	TFPI2	7980	0	0	0		0	
Q9BQT9	0.0018334100264297	FTD	VUMC Olink	CLSTN3	9746	0	0	0		0	
Q9BYH1	0.0018334100264297	FTD	VUMC Olink	SEZ6L	23544	0	0	0		0	
Q92520	0.00195535741218434	FTD	VUMC Olink	FAM3C	10447	0	0	0		3	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Platelet activation, signaling and aggregation
P06681	0.00226106256972068	FTD	VUMC MSpec,VUMC Olink	C2	717	2	2	2	Complement and coagulation cascades,Pertussis	3	Regulation of Complement cascade,Complement cascade,Initial triggering of complement
Q9HCM2	0.00226106256972068	FTD	VUMC Olink	PLXNA4	91584	0	0	1	Axon guidance	0	
O95727	0.00235674929777998	FTD	VUMC Olink	CRTAM	56253	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P56470	0.00235674929777998	FTD	VUMC Olink	LGALS4	3960	0	0	0		0	
P53634	0.00301733815828514	FTD	VUMC Olink	CTSC	1075	0	0	1	Lysosome	0	
O43505	0.00316975636681019	FTD	VUMC Olink	B4GAT1	11041	1	0	0		2	Diseases of metabolism,Diseases of glycosylation
Q9HAN9	0.00316975636681019	FTD	VUMC Olink	NMNAT1	64802	1	0	0		0	
Q96D42	0.00316975636681019	FTD	VUMC Olink	HAVCR1	26762	0	0	0		0	
Q14956	0.0032198940508124	FTD	VUMC MSpec,VUMC Olink	GPNMB	10457	0	1	0		0	
O43155	0.0032198940508124	FTD	VUMC Olink	FLRT2	23768	0	0	0		0	
P19021	0.00410314063987848	FTD	VUMC Olink	PAM	5066	1	0	0		0	
Q9H156	0.0049357261901814	FTD	VUMC Olink	SLITRK2	84631	0	0	0		0	
P17405	0.00668784448649684	FTD	VUMC Olink	SMPD1	6609	3	0	1	Lysosome	0	
P04217	0.00944590857721328	FTD	VUMC MSpec	A1BG	1	0	0	0		3	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Platelet activation, signaling and aggregation
P41217	0.0104315308470341	FTD	VUMC Olink	CD200	4345	0	2	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
P05156	0.011550721446795	FTD	VUMC MSpec	CFI	3426	0	0	1	Complement and coagulation cascades	2	Regulation of Complement cascade,Complement cascade
P22792	0.0134924617893196	FTD	VUMC MSpec	CPN2	1370	0	0	0		2	Regulation of Complement cascade,Complement cascade
P00352	0.0136169970405584	FTD	VUMC Olink	ALDH1A1	216	0	4	0		0	
O75054	0.0136700470889731	FTD	VUMC Olink	IGSF3	3321	0	0	0		0	
P35052	0.0142310241086256	FTD	VUMC Olink	GPC1	2817	0	0	0		2	Diseases of metabolism,Diseases of glycosylation
Q9UBX1	0.0143262246366793	FTD	VUMC Olink	CTSF	8722	0	2	1	Lysosome	0	
Q6NW40	0.0154246226264112	FTD	VUMC Olink	RGMB	285704	0	0	0		0	
P0CG37	0.0181351220179095	FTD	VUMC Olink	CFC1	55997	0	0	0		0	
P15151	0.0231565063212873	FTD	VUMC Olink	PVR	5817	1	0	0		2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Adherens junctions interactions
Q99075	0.0234816277641724	FTD	VUMC Olink	HBEGF	1839	0	0	0		4	MAPK1/MAPK3 signaling,MAPK family signaling cascades,RAF/MAP kinase cascade,FLT3 Signaling
O75787	0.0244027852664359	FTD	VUMC Olink	ATP6AP2	10159	1	0	0		0	
O75326	0.0247725232480635	FTD	VUMC Olink	SEMA7A	8482	0	0	1	Axon guidance	0	
O75354	0.0247725232480635	FTD	VUMC Olink	ENTPD6	955	0	0	0		0	
P21741	0.0247725232480635	FTD	VUMC Olink	MDK	4192	0	0	0		0	
P16422	0.0248573484057254	FTD	VUMC Olink	EPCAM	4072	0	0	0		0	
Q08629	0.0248573484057254	FTD	VUMC Olink	SPOCK1	6695	0	0	0		0	
P35442	0.0257634174656005	FTD	VUMC Olink	THBS2	7058	0	0	0		3	Signaling by PDGF,Diseases of metabolism,Diseases of glycosylation
Q2VWP7	0.0263496335739096	FTD	VUMC Olink	PRTG	283659	0	0	0		0	
Q9NZP8	0.0263496335739096	FTD	VUMC MSpec	C1RL	51279	0	0	0		0	
O75077	0.0296287327891761	FTD	VUMC Olink	ADAM23	8745	0	0	0		0	
Q9H4D0	0.0296287327891761	FTD	VUMC Olink	CLSTN2	64084	0	0	0		0	
Q8NFT8	0.0312292609425296	FTD	VUMC Olink	DNER	92737	0	0	0		0	
P05231	0.0325522609884907	FTD	VUMC Olink	IL6	3569	23	47	1	Pertussis	4	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),MAPK1/MAPK3 signaling,MAPK family signaling cascades
P02763	0.0325522609884907	FTD	VUMC MSpec	ORM1	5004	0	0	0		3	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Platelet activation, signaling and aggregation
O43240	0.0326049242386929	FTD	VUMC Olink	KLK10	5655	0	0	0		0	
P09668	0.0336316400886521	FTD	VUMC Olink	CTSH	1512	1	0	1	Lysosome	0	
P18428	0.0341665404775536	FTD	VUMC MSpec	LBP	3929	0	0	0		2	Regulation of TLR by endogenous ligand,Toll-like Receptor Cascades
P06744	0.0353785794599467	FTD	VUMC MSpec	GPI	2821	0	10	0		0	
Q14624	0.0371325933056188	FTD	VUMC MSpec	ITIH4	3700	0	0	0		3	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Platelet activation, signaling and aggregation
Q9BUD6	0.0386950831972077	FTD	VUMC Olink	SPON2	10417	0	0	0		2	Diseases of metabolism,Diseases of glycosylation
P00915	0.0391318917896102	FTD	VUMC Olink	CA1	759	0	0	0		0	
P19878	0.0404541308391775	FTD	VUMC Olink	NCF2	4688	0	10	1	Neutrophil extracellular trap formation	0	
Q99717	0.0404541308391775	FTD	VUMC Olink	SMAD5	4090	0	0	0		0	
Q99727	0.0404541308391775	FTD	VUMC Olink	TIMP4	7079	0	0	0		0	
P02790	0.0425310614956026	FTD	VUMC MSpec	HPX	3263	0	0	0		0	
P16870	0.0426519405230208	FTD	VUMC Olink	CPE	1363	0	0	0		0	
P00750	0.043777556214173	FTD	VUMC Olink	PLAT	5327	11	2	1	Complement and coagulation cascades	1	Signaling by PDGF
O60609	0.0461482078352075	FTD	VUMC Olink	GFRA3	2676	0	0	0		4	MAPK1/MAPK3 signaling,MAPK family signaling cascades,RAF/MAP kinase cascade,FLT3 Signaling
P00751	0.0463361067982648	FTD	VUMC MSpec	CFB	629	1	0	1	Complement and coagulation cascades	3	Regulation of Complement cascade,Complement cascade,Initial triggering of complement
Q08431	0.0463954011286822	FTD	VUMC Olink	MFGE8	4240	0	1	0		2	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
O00451	0.0468174443099167	FTD	VUMC Olink	GFRA2	2675	0	0	0		4	MAPK1/MAPK3 signaling,MAPK family signaling cascades,RAF/MAP kinase cascade,FLT3 Signaling
Q8NFP4	0.0468174443099167	FTD	VUMC Olink	MDGA1	266727	0	0	0		0	
P04083	0.0470119044250185	FTD	VUMC Olink	ANXA1	301	0	0	0		1	Peptide ligand-binding receptors
P51671	0.0473609709200904	FTD	VUMC Olink	CCL11	6356	0	0	0		1	Peptide ligand-binding receptors
O75144	0.0479271875037021	FTD	VUMC Olink	ICOSLG	23308	0	0	0		0	
O43854	0.0502991028841904	FTD	VUMC Olink	EDIL3	10085	0	0	0		0	
P01031	0.0514811315527864	FTD	VUMC MSpec	C5	727	0	0	3	Complement and coagulation cascades,Pertussis,Neutrophil extracellular trap formation	3	Regulation of Complement cascade,Complement cascade,Peptide ligand-binding receptors
P40121	0.0573044728333102	FTD	VUMC Olink	CAPG	822	0	0	0		0	
O15197	0.0578565886428285	FTD	VUMC Olink	EPHB6	2051	0	0	1	Axon guidance	0	
P31949	0.0606814129660017	FTD	VUMC Olink	S100A11	6282	0	0	0		0	
P01042	0.06353072676509	FTD	VUMC MSpec	KNG1	3827	1	0	1	Complement and coagulation cascades	8	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Formation of Fibrin Clot (Clotting Cascade),Intrinsic Pathway of Fibrin Clot Formation,Platelet activation, signaling and aggregation,Peptide ligand-binding receptors
P22223	0.0698795563801881	FTD	VUMC Olink	CDH3	1001	0	0	0		1	Adherens junctions interactions
Q14520	0.0733794478390787	FTD	VUMC MSpec	HABP2	3026	0	0	0		0	
P20936	0.07798108089324	FTD	VUMC Olink	RASA1	5921	1	0	1	Axon guidance	5	MAPK1/MAPK3 signaling,MAPK family signaling cascades,Signaling by PDGF,RAF/MAP kinase cascade,FLT3 Signaling
O95750	0.07798108089324	FTD	VUMC Olink	FGF19	9965	0	0	0		4	MAPK1/MAPK3 signaling,MAPK family signaling cascades,RAF/MAP kinase cascade,FLT3 Signaling
P00748	0.07798108089324	FTD	VUMC MSpec	F12	2161	0	0	1	Complement and coagulation cascades	2	Formation of Fibrin Clot (Clotting Cascade),Intrinsic Pathway of Fibrin Clot Formation
P02743	0.07798108089324	FTD	VUMC MSpec	APCS	325	0	0	0		0	
P05154	0.07798108089324	FTD	VUMC MSpec,VUMC Olink	SERPINA5	5104	0	0	1	Complement and coagulation cascades	3	Formation of Fibrin Clot (Clotting Cascade),Common Pathway of Fibrin Clot Formation,Intrinsic Pathway of Fibrin Clot Formation
Q9BQR3	0.0792027172052476	FTD	VUMC Olink	PRSS27	83886	0	0	0		0	
P19957	0.0793187564120955	FTD	VUMC Olink	PI3	5266	0	0	0		0	
Q5T2D2	0.0793187564120955	FTD	VUMC Olink	TREML2	79865	0	0	0		1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Q9UK55	0.0793187564120955	FTD	VUMC MSpec	SERPINA10	51156	0	0	0		2	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
P16234	0.0793873538834463	FTD	VUMC Olink	PDGFRA	5156	1	0	0		5	MAPK1/MAPK3 signaling,MAPK family signaling cascades,Signaling by PDGF,RAF/MAP kinase cascade,FLT3 Signaling
Q86WV1	0.0798371986779578	FTD	VUMC Olink	SKAP1	8631	0	0	0		0	
P20062	0.0817105849554336	FTD	VUMC Olink	TCN2	6948	1	0	0		1	Diseases of metabolism
P02675	0.0820940801955003	FTD	VUMC MSpec	FGB	2244	0	0	2	Complement and coagulation cascades,Neutrophil extracellular trap formation	13	Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Regulation of TLR by endogenous ligand,Formation of Fibrin Clot (Clotting Cascade),MAPK1/MAPK3 signaling,Common Pathway of Fibrin Clot Formation,MAPK family signaling cascades,Platelet activation, signaling and aggregation,RAF/MAP kinase cascade,FLT3 Signaling,GRB2:SOS provides linkage to MAPK signaling for Integrins ,p130Cas linkage to MAPK signaling for integrins,Toll-like Receptor Cascades
O75509	0.0823930234131643	FTD	VUMC Olink	TNFRSF21	27242	1	23	0		0	
O00533	0.0823930234131643	FTD	VUMC Olink	CHL1	10752	1	0	0		0	
P02671	0.0823930234131643	FTD	VUMC MSpec	FGA	2243	1	0	2	Complement and coagulation cascades,Neutrophil extracellular trap formation	15	Post-translational protein phosphorylation,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Regulation of TLR by endogenous ligand,Formation of Fibrin Clot (Clotting Cascade),MAPK1/MAPK3 signaling,Common Pathway of Fibrin Clot Formation,MAPK family signaling cascades,Platelet activation, signaling and aggregation,RAF/MAP kinase cascade,FLT3 Signaling,GRB2:SOS provides linkage to MAPK signaling for Integrins ,p130Cas linkage to MAPK signaling for integrins,Toll-like Receptor Cascades
O14793	0.0838782239211499	FTD	VUMC Olink	MSTN	2660	2	0	0		0	
Q96B86	0.0882438137670981	FTD	VUMC Olink	RGMA	56963	0	0	1	Axon guidance	0	
P35247	0.0929812716606169	FTD	VUMC Olink	SFTPD	6441	0	0	0		4	Regulation of TLR by endogenous ligand,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Diseases of metabolism,Toll-like Receptor Cascades
P55285	0.0959266390593456	FTD	VUMC Olink	CDH6	1004	0	0	0		1	Adherens junctions interactions
Q16719	0.0981405977001693	FTD	VUMC Olink	KYNU	8942	0	3	0		0	
Q15846	0.0981405977001693	FTD	VUMC Olink	CLUL1	27098	0	0	0		0	
P02144	0.0981450467879382	FTD	VUMC Olink	MB	4151	0	0	0		0	
P03956	0.0139898176586535	DLB	VUMC Olink	MMP1	4312	0	2	5	Relaxin signaling pathway,PPAR signaling pathway,Rheumatoid arthritis,IL-17 signaling pathway,Lipid and atherosclerosis	9	Collagen degradation,Interleukin-4 and Interleukin-13 signaling,Degradation of the extracellular matrix,Extracellular matrix organization,Basigin interactions,Activation of Matrix Metalloproteinases,Signaling by Interleukins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Cell surface interactions at the vascular wall
P06734	0.0334690954811458	DLB	VUMC Olink	FCER2	2208	2	0	1	Hematopoietic cell lineage	5	Interleukin-4 and Interleukin-13 signaling,NOTCH2 intracellular domain regulates transcription,Signaling by NOTCH2,Signaling by Interleukins,Interleukin-10 signaling
P42785	0.0721797238783679	DLB	VUMC Olink	PRCP	5547	0	0	2	Protein digestion and absorption,Renin-angiotensin system	2	Intrinsic Pathway of Fibrin Clot Formation,Formation of Fibrin Clot (Clotting Cascade)
P02462	0.0954862903830274	DLB	VUMC Olink	COL4A1	1282	18	0	6	Protein digestion and absorption,Relaxin signaling pathway,ECM-receptor interaction,AGE-RAGE signaling pathway in diabetic complications,Focal adhesion,PI3K-Akt signaling pathway	18	Collagen degradation,Degradation of the extracellular matrix,Anchoring fibril formation,Extracellular matrix organization,Crosslinking of collagen fibrils,Scavenging by Class A Receptors,Laminin interactions,Binding and Uptake of Ligands by Scavenger Receptors,NCAM1 interactions,Collagen chain trimerization,Signaling by PDGF,Non-integrin membrane-ECM interactions,Assembly of collagen fibrils and other multimeric structures,NCAM signaling for neurite out-growth,Collagen biosynthesis and modifying enzymes,ECM proteoglycans,Integrin cell surface interactions,Collagen formation
P25311	0.0954862903830274	DLB	VUMC MSpec	AZGP1	563	0	0	0		1	Miscellaneous transport and binding events
P09238	0	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	MMP10	4319	0	0	0		0	
P63313	0	ALZ,FTD	ALZ:EMIF,VUMC Olink;FTD:VUMC Olink	TMSB10	9168	0	0	0		0	
P20711	1.6466444514376e-21	ALZ,FTD,DLB	ALZ:VUMC Olink;FTD:VUMC Olink;DLB:VUMC Olink	DDC	1644	3	4	2	Phenylalanine metabolism,Tyrosine metabolism	0	
Q9NY25	2.98103299418985e-13	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	CLEC5A	23601	0	0	0		1	Neutrophil degranulation
P14174	1.49051649709493e-12	ALZ,FTD	ALZ:ADNI,VUMC Olink;FTD:VUMC Olink	MIF	4282	0	4	2	Phenylalanine metabolism,Tyrosine metabolism	1	Neutrophil degranulation
Q9NP99	4.43414044978906e-10	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	TREM1	54210	0	1	0		0	
Q02790	9.42239940415205e-09	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	FKBP4	2288	0	1	0		0	
Q13231	3.33536085607175e-07	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	CHIT1	1118	2	0	0		1	Neutrophil degranulation
Q99497	5.7239506121094e-07	ALZ,FTD	ALZ:EMIF,VUMC Olink;FTD:VUMC Olink	PARK7	11315	4	47	0		0	
P20333	6.08309095955549e-07	ALZ,FTD	ALZ:ADNI,VUMC Olink;FTD:VUMC Olink	TNFRSF1B	7133	0	1	1	Cytokine-cytokine receptor interaction	1	Neutrophil degranulation
P10147	6.5504810502399e-07	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	CCL3	6348	1	4	3	Lipid and atherosclerosis,Rheumatoid arthritis,Cytokine-cytokine receptor interaction	0	
Q07108	1.06817655749351e-06	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	CD69	969	0	0	0		0	
Q6UB28	8.1138050733576e-06	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	METAP1D	254042	0	0	0		0	
P01011	8.61007248400565e-06	FTD,DLB	FTD:VUMC MSpec;DLB:VUMC MSpec	SERPINA3	12	0	0	0		1	Neutrophil degranulation
P50579	2.05231582456999e-05	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	METAP2	10988	0	0	0		0	
P01241	3.07677244305853e-05	ALZ,DLB	ALZ:VUMC Olink;DLB:VUMC Olink	GH1	2688	10	0	1	Cytokine-cytokine receptor interaction	0	
P36222	3.80114138928983e-05	ALZ,FTD	ALZ:ADNI,EMIF,VUMC Olink;FTD:VUMC MSpec,VUMC Olink	CHI3L1	1116	0	1	0		1	Neutrophil degranulation
P12931	5.04993161137008e-05	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	SRC	6714	1	9	1	Lipid and atherosclerosis	0	
Q9BY76	0.000377615667663603	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	ANGPTL4	51129	0	0	0		0	
Q06830	0.000379848579130055	ALZ,FTD	ALZ:ADNI,EMIF,VUMC Olink;FTD:VUMC Olink	PRDX1	5052	0	4	0		0	
P08254	0.000483696078771344	ALZ,FTD	ALZ:ADNI,VUMC Olink;FTD:VUMC Olink	MMP3	4314	1	11	2	Lipid and atherosclerosis,Rheumatoid arthritis	0	
Q9Y286	0.000967202910468306	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	SIGLEC7	27036	0	0	0		0	
P06850	0.0048250113417743	ALZ,DLB	ALZ:VUMC Olink;DLB:VUMC Olink	CRH	1392	6	0	0		0	
Q8NHJ6	0.00494262476785838	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	LILRB4	11006	0	0	0		0	
O75015	0.0075758518333858	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC MSpec,VUMC Olink	FCGR3B	2215	0	0	1	Systemic lupus erythematosus	1	Neutrophil degranulation
P02748	0.0101012252777755	FTD,DLB	FTD:VUMC MSpec;DLB:VUMC MSpec	C9	735	2	0	2	Systemic lupus erythematosus,Complement and coagulation cascades	0	
O15232	0.01520557712035	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	MATN3	4148	0	0	0		0	
O00182	0.0176501874552435	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	LGALS9	3965	0	0	0		0	
P78333	0.028109184220292	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	GPC5	2262	0	0	0		0	
O75356	0.0309939264230481	FTD,DLB	FTD:VUMC Olink;DLB:VUMC Olink	ENTPD5	957	0	0	0		0	
P56159	0.0337202014863663	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	GFRA1	2674	0	5	0		0	
O94779	0.0449653370979659	ALZ,FTD	ALZ:VUMC Olink;FTD:VUMC Olink	CNTN5	53942	0	0	0		0	
P0C0L5	0.0601790057092423	FTD,DLB	FTD:VUMC MSpec;DLB:VUMC MSpec	C4B	721	0	0	2	Systemic lupus erythematosus,Complement and coagulation cascades	0	
